full_name,email_address,address,country,credit_card_number,is_chargemap_pro_user,invoices_count,paid_invoices_count,current_debt_amount,feedback_count,payment_mean,payment_time_avg,is_fraud
James Robinson,petersen615@fraudmail.com,"9019 Lee Mill Apt. 331
Dunnbury, IN 76199",Mozambique,4042238921520720391,True,10,4,3095.41,0,Crypto,51.686608183723216,1
Jeffrey Robinson,taylor941@fraudmail.com,"9546 Barber Circle Suite 085
New Vincentborough, AK 21959",Korea,213134215539537,True,1,4,1085.87,1,Crypto,51.783182711718744,1
Nicholas Hoffman,shaffer827@fraudmail.com,"82564 Watkins Lakes
Port Michaelborough, CO 97138",Anguilla,30526310170491,True,3,2,3279.41,0,Card,34.50673377071256,1
Frederick Brown,hunter217@fraudmail.com,"075 Justin Club Apt. 740
Kathleenmouth, NC 79413",Belarus,4491073133887708,True,1,3,4275.14,0,Paypal,15.684392079138906,1
Derek David MD,campbell985@fraudmail.com,"94414 Morris Ferry Apt. 822
New Stanley, MS 22885",Cocos (Keeling) Islands,379842254460122,True,13,4,4859.73,0,Paypal,16.30788832179416,1
Sarah Carr,johnson739@fraudmail.com,"54723 Michael Station
Woodsberg, IN 33922",Micronesia,375943245952401,True,17,3,1098.47,0,Card,56.784627705850305,1
Christine Cooper,atkinson327@fraudmail.com,"41517 Brett Plaza
Smithchester, GU 85065",Zambia,4756816420190511,True,13,3,3370.71,1,Crypto,32.849575271203804,1
Richard Wiggins,ruiz608@fraudmail.com,"877 Perkins Rest
East Mark, NM 92079",Saint Kitts and Nevis,180039985409317,True,4,3,1739.39,0,Crypto,23.392864016694837,1
Jeffery Jones,carroll859@fraudmail.com,"94397 Mark Centers Apt. 059
Derekberg, DE 41408",Timor-Leste,2250483626450895,True,4,5,2716.75,1,Paypal,50.818919027715665,1
Kevin Welch,finley866@fraudmail.com,"USCGC Foley
FPO AA 38356",Nigeria,4742764057858763310,True,8,3,4316.34,0,Crypto,25.85073167874083,1
Brian Morris,johnson866@fraudmail.com,"2943 Timothy Manors Apt. 478
West Jacobtown, AS 38478",Guinea-Bissau,4242997493832,True,11,2,4570.16,0,Card,22.232618484237666,1
Laura Bailey,meyers958@fraudmail.com,"94414 Morris Ferry Apt. 822
New Stanley, MS 22885",Saint Helena,6011208960146051,True,3,1,2936.75,0,Paypal,54.46591361074543,1
Samantha Arnold,parker918@fraudmail.com,"663 Cooper Parks Apt. 482
Foleyborough, CA 42543",Korea,38452255747916,True,19,2,1481.68,1,Crypto,39.76091069826056,1
Stephen Fleming,myers580@fraudmail.com,"3486 Lopez Parkway Apt. 893
South Jenna, WI 21824",Saint Martin,3540673792638038,True,6,4,1182.61,0,Paypal,37.478934448002086,1
Tracie Henry,conner618@fraudmail.com,"2280 Adam Mall Suite 694
Donaldville, MN 17336",Lebanon,6011208960146051,True,11,4,1704.66,1,Crypto,15.73268683729098,1
Eduardo Smith,anderson839@fraudmail.com,"8681 Brian Pike Apt. 471
Port Kimfurt, WA 02394",Eritrea,379842254460122,True,16,3,4636.59,1,Card,44.466161802609875,1
Jeff Ballard,orr405@fraudmail.com,"287 Tyrone Stream
North Paulborough, VI 34621",Zimbabwe,4742764057858763310,True,7,1,3778.36,1,Crypto,37.1204072175696,1
James Coleman,carter608@fraudmail.com,"41517 Brett Plaza
Smithchester, GU 85065",United Kingdom,180006689215571,True,15,1,2943.67,0,Paypal,22.139865726301295,1
Jenna Johnson,anderson151@fraudmail.com,"569 Donna Corner Apt. 292
Port Stevenland, NE 57699",Saint Lucia,213134215539537,True,16,0,1612.57,0,Crypto,55.081326639047056,1
Christina Wilson,perez952@fraudmail.com,"54723 Michael Station
Woodsberg, IN 33922",San Marino,4542183284457236756,True,14,2,4314.22,1,Paypal,44.76695440207798,1
Lauren Ortiz,phillips639@fraudmail.com,"186 Padilla Groves
Dawnberg, NM 19915",Maldives,2717682946386427,True,3,4,1943.03,0,Card,54.93392801962525,1
Angela Williams,crawford860@fraudmail.com,"577 Dawn Ford Suite 684
New Nicholasport, WA 49099",El Salvador,6011385414888494,True,18,1,4246.48,0,Card,58.36022855236126,1
Leslie Sanders,taylor666@fraudmail.com,"186 Padilla Groves
Dawnberg, NM 19915",Pakistan,2716927362493632,True,18,3,3842.44,1,Crypto,58.324723124084436,1
Shaun Phillips PhD,ward565@fraudmail.com,"248 Long Viaduct
West Miguelport, PA 66064",Chad,346929775147732,True,2,0,2302.15,0,Card,46.79853804227348,1
Kimberly Jones,white870@fraudmail.com,"USNS Schmidt
FPO AP 03882",Togo,501803741914,True,5,1,2724.3,1,Card,31.528177277415153,1
John Ross,baldwin604@fraudmail.com,"2867 Debra Trafficway
Rogersport, SD 60650",Bahrain,379842254460122,True,18,0,1272.43,0,Crypto,50.4028415152329,1
James Nash,whitney425@fraudmail.com,"0290 Knight Road
Port Dawnmouth, PR 78894",Kyrgyz Republic,4613270255710,True,20,4,699.04,0,Card,48.619797602474875,1
Erica Johnson,flowers762@fraudmail.com,"93984 Cole Ridges Apt. 090
West Johnmouth, DC 69423",Romania,4409773310072,True,19,4,1025.05,1,Paypal,49.74217118603117,1
Jason Rodriguez,morris310@fraudmail.com,"287 Tyrone Stream
North Paulborough, VI 34621",Christmas Island,3585383433889778,True,18,5,1226.18,0,Paypal,51.82073905945476,1
Jennifer Choi,garcia101@fraudmail.com,"822 Hernandez Ford Apt. 247
Lake Gregory, WV 00630",Sudan,3519679400737929,True,9,1,2370.22,0,Card,19.847991190460167,1
Jeffrey Benitez,warner320@fraudmail.com,"93984 Cole Ridges Apt. 090
West Johnmouth, DC 69423",Brunei Darussalam,2284335780672245,True,1,5,435.12,1,Crypto,58.20175942458244,1
James Cooper,carney152@fraudmail.com,"77043 Wood Knoll
Josephland, LA 74323",Mongolia,6011385414888494,True,19,2,1090.17,1,Crypto,20.476256677782267,1
Jerry Hodges,short361@fraudmail.com,"PSC 4376, Box 7613
APO AP 31659",Argentina,4242997493832,True,6,4,2746.86,1,Crypto,38.9327763956209,1
Christopher Warner,jefferson814@fraudmail.com,"83741 Rhodes Cliff
Glovermouth, FM 17183",Australia,3540673792638038,True,5,2,859.35,0,Paypal,29.628411637086984,1
Alexandria Clark,james264@fraudmail.com,"54723 Michael Station
Woodsberg, IN 33922",Vietnam,3545884417951418,True,13,4,3131.38,0,Paypal,28.273284692138127,1
Lynn Snyder,miller765@fraudmail.com,"0290 Knight Road
Port Dawnmouth, PR 78894",Equatorial Guinea,3514891926134706,True,5,1,1891.13,0,Card,58.91405404462358,1
Lisa Gray,rosales452@fraudmail.com,"USNV Schultz
FPO AP 65884",Nauru,375327049857059,True,11,4,2841.5,1,Card,45.07701786134787,1
Lawrence Dixon,gallegos868@fraudmail.com,"74265 Parrish Avenue Suite 417
North Mary, IA 16041",Saint Vincent and the Grenadines,4160389175827,True,15,5,2964.03,0,Card,24.553620882975565,1
Jason Wong,santos399@fraudmail.com,"7843 Evan Valleys Suite 564
East Biancaborough, MP 15826",Egypt,4726832964173319093,True,11,0,1570.87,0,Crypto,34.86410808559481,1
Dr. Robert Pollard Jr.,montgomery254@fraudmail.com,"3253 Sarah Pines Apt. 813
South Jesseland, RI 53094",Antarctica (the territory South of 60 deg S),060468975267,True,3,1,1428.87,0,Crypto,47.11196931257229,1
Kristen Silva,mathis250@fraudmail.com,"93013 Alexander Camp Suite 556
Wileytown, OR 09708",Ecuador,4848812394961,True,4,5,4188.32,0,Paypal,15.388589820667116,1
Melissa Moran,nelson868@fraudmail.com,"09945 Justin Curve Suite 860
Annachester, NM 33972",Saint Barthelemy,4581768329021167465,True,18,2,3007.39,0,Paypal,21.15044026875283,1
Antonio Pittman,wilkins423@fraudmail.com,"757 Pollard Underpass Suite 463
New Joshuashire, NV 40330",Madagascar,3519874556893309,True,5,5,1867.42,1,Paypal,55.494423045377204,1
Carolyn Buckley,lawson766@fraudmail.com,"7079 Amy Wells
Maryborough, IA 57842",Timor-Leste,3502834488628628,True,3,3,4021.98,1,Paypal,25.87731673350776,1
Alexandra Glover,miller316@fraudmail.com,"93984 Cole Ridges Apt. 090
West Johnmouth, DC 69423",Bhutan,4586769590175691513,True,16,1,3958.27,0,Crypto,53.36841583122815,1
Ann Santana,mcbride782@fraudmail.com,"93013 Alexander Camp Suite 556
Wileytown, OR 09708",Morocco,30589720918347,True,1,3,1611.26,0,Card,59.073473108622544,1
Craig Richards,gallagher860@fraudmail.com,"877 Perkins Rest
East Mark, NM 92079",Dominican Republic,3585383433889778,True,6,1,602.28,0,Crypto,50.90125573666778,1
Lauren Johnson,evans521@fraudmail.com,"0649 Reid Groves
Jennaton, AR 16874",Suriname,4722515004386799,True,14,3,1223.69,0,Crypto,55.22312925688656,1
Jerry Hall,cannon296@fraudmail.com,"83741 Rhodes Cliff
Glovermouth, FM 17183",New Zealand,4410843511896325,True,15,5,4770.85,0,Paypal,56.17038234478137,1
Taylor Booth,wilson250@fraudmail.com,"29169 Erica Mission
Munozview, HI 52618",Mali,213193204558551,True,19,1,2245.94,1,Crypto,32.03556905704258,1
Dylan Austin,alexander679@fraudmail.com,"708 Christian Lake
New Ianport, CO 52220",Hungary,4848812394961,True,1,0,4137.43,1,Paypal,19.00666738465542,1
John Smith,martinez883@fraudmail.com,"75165 Lester Springs Suite 909
Port Kristenside, WI 28496",Antigua and Barbuda,584424744491,True,20,2,4819.83,1,Paypal,51.8722906279803,1
Ricky Navarro,hensley929@fraudmail.com,"7504 Justin Ferry
North Susan, MP 89597",Belarus,4301436754673260927,True,19,3,3138.27,1,Card,34.66168994156176,1
Ashley Carlson,murphy535@fraudmail.com,"877 Perkins Rest
East Mark, NM 92079",Malaysia,4756816420190511,True,6,1,4505.43,1,Paypal,54.837474951107986,1
Olivia Griffith,andrews743@fraudmail.com,"31048 Mary Flats
New Michelle, PA 84474",Holy See (Vatican City State),2258460925085079,True,4,2,4016.75,1,Paypal,19.209005156152852,1
Keith Nguyen,james553@fraudmail.com,"USCGC Turner
FPO AA 64054",Kuwait,379842254460122,True,10,2,4097.92,1,Paypal,33.63992898829713,1
William White,coleman603@fraudmail.com,"3486 Lopez Parkway Apt. 893
South Jenna, WI 21824",Papua New Guinea,2717682946386427,True,8,0,3843.63,0,Crypto,56.34348024998706,1
Scott Luna,bartlett188@fraudmail.com,"8396 William Square Apt. 283
Johnsonshire, ME 27538",Korea,370111395108548,True,3,1,1266.21,1,Crypto,35.32157751391586,1
Stephanie Young,robinson143@fraudmail.com,"204 Ricardo Mountain Suite 109
New Heather, AZ 96453",Honduras,346660895632895,True,20,1,2297.25,0,Paypal,48.94729722947212,1
Benjamin Jenkins,burgess850@fraudmail.com,"USNS Schmidt
FPO AP 03882",Vietnam,213134215539537,True,2,4,1173.83,1,Card,35.8728136296417,1
Anna Vasquez,richardson473@fraudmail.com,"186 Padilla Groves
Dawnberg, NM 19915",Norway,584424744491,True,11,4,3570.47,0,Crypto,37.14705400956272,1
Tiffany Prince,wheeler639@fraudmail.com,"17058 Ashley Streets Suite 142
South Todd, AR 06276",Christmas Island,3516400971976652,True,17,2,293.71,0,Card,54.16010413398037,1
Evan Cortez,wood622@fraudmail.com,"93013 Alexander Camp Suite 556
Wileytown, OR 09708",Dominican Republic,4590193270298266828,True,7,5,476.28,1,Card,48.0784130382977,1
Alvin Carr,jacobs121@fraudmail.com,"7397 Young Plaza Suite 431
Lake Sarahfurt, MN 82365",Mauritius,30589720918347,True,12,4,3945.15,0,Crypto,51.378504175125265,1
Dave Wilson Jr.,hale463@fraudmail.com,"9920 Richardson Ways Apt. 836
North Mitchellside, TX 30933",Georgia,4450274682932,True,12,2,2584.43,1,Paypal,44.16779113969878,1
Stephanie Robinson,morrow813@fraudmail.com,"90253 Diaz Cliffs Apt. 085
Lake Jared, PA 22036",Saint Vincent and the Grenadines,6011208960146051,True,2,3,2215.49,1,Paypal,58.29296767720216,1
Mrs. Melanie Preston,garcia815@fraudmail.com,"9546 Barber Circle Suite 085
New Vincentborough, AK 21959",American Samoa,30357781595556,True,9,2,3674.03,1,Crypto,52.57642082602091,1
Megan Andrade,richards464@fraudmail.com,"93984 Cole Ridges Apt. 090
West Johnmouth, DC 69423",Latvia,2250483626450895,True,6,3,4932.16,1,Paypal,56.661204496523595,1
Raven Tucker,padilla674@fraudmail.com,"9546 Barber Circle Suite 085
New Vincentborough, AK 21959",Iran,4409773310072,True,4,5,3383.85,1,Crypto,29.343451318876735,1
Jennifer Hooper,weber632@fraudmail.com,"7678 Robinson Junction
Shawnview, MI 66948",Senegal,4491073133887708,True,7,5,211.17,0,Crypto,59.885902450893205,1
Jamie Hamilton,alexander563@fraudmail.com,"287 Tyrone Stream
North Paulborough, VI 34621",Grenada,30252470016883,True,17,4,938.09,1,Paypal,43.995409093289524,1
Robert Kelly,holt909@fraudmail.com,"903 Mosley Summit Suite 361
South Elizabeth, AL 96733",Japan,3551687646582651,True,2,2,4867.6,1,Crypto,51.87254549624384,1
Suzanne Welch,dunn602@fraudmail.com,"52146 Mcdonald Cliffs Apt. 946
Nathanview, WA 28036",Guam,4410843511896325,True,13,3,3873.46,1,Paypal,36.83545023399502,1
Nancy Watts,kennedy726@fraudmail.com,"74265 Parrish Avenue Suite 417
North Mary, IA 16041",Saint Helena,2717682946386427,True,2,2,4466.46,0,Card,31.851532624350682,1
Christopher Taylor,gonzales390@fraudmail.com,"93013 Alexander Camp Suite 556
Wileytown, OR 09708",Botswana,4542183284457236756,True,5,0,4273.93,1,Paypal,45.970190442262684,1
Marvin Williams MD,montgomery707@fraudmail.com,"903 Mosley Summit Suite 361
South Elizabeth, AL 96733",United Arab Emirates,38452255747916,True,5,0,1350.08,0,Card,49.30944904807264,1
Ryan Anderson,reed308@fraudmail.com,"34937 Rios Grove Apt. 163
Waltermouth, NH 27577",Western Sahara,4848812394961,True,17,5,3872.96,0,Card,17.885357117124222,1
Lawrence Woods,hood383@fraudmail.com,"663 Cooper Parks Apt. 482
Foleyborough, CA 42543",Somalia,213141162593474,True,9,4,1739.96,1,Paypal,46.16002393903108,1
Jerry Adams,holland783@fraudmail.com,"94351 Martinez Motorway Suite 938
Port Johnchester, NJ 93154",North Macedonia,30357781595556,True,5,0,450.96,0,Crypto,26.377503944242257,1
Kristin Horne,caldwell151@fraudmail.com,"903 Mosley Summit Suite 361
South Elizabeth, AL 96733",Saint Barthelemy,2258460925085079,True,2,0,2775.37,0,Paypal,27.685691489822556,1
David Baird,kirk386@fraudmail.com,"17058 Ashley Streets Suite 142
South Todd, AR 06276",Syrian Arab Republic,4015400335233842525,True,15,5,3143.48,0,Card,31.733690501530447,1
Donna Rodriguez,collins824@fraudmail.com,"93984 Cole Ridges Apt. 090
West Johnmouth, DC 69423",Congo,379842254460122,True,4,3,1020.05,0,Crypto,24.464419254087005,1
Raymond Wilcox,garcia395@fraudmail.com,"94351 Martinez Motorway Suite 938
Port Johnchester, NJ 93154",Slovakia (Slovak Republic),2266294191314214,True,7,5,2733.45,1,Paypal,56.36595667679309,1
Lawrence Weaver,robles840@fraudmail.com,"9918 Young Avenue Apt. 053
East Pamelaville, FL 12537",Angola,4013333187848652,True,5,2,3687.81,0,Card,15.27854297734969,1
Anthony Hoffman,monroe119@fraudmail.com,"USCGC Parker
FPO AE 84347",Comoros,213193204558551,True,10,5,2891.27,0,Crypto,30.084050186572448,1
Scott Dickson,pace157@fraudmail.com,"7275 Blankenship Pines
New Joan, CT 03708",Faroe Islands,4590193270298266828,True,17,1,3475.28,1,Crypto,46.00817541725216,1
Kathleen Delacruz,rogers240@fraudmail.com,"2280 Adam Mall Suite 694
Donaldville, MN 17336",Burkina Faso,30355683354379,True,15,5,4145.39,1,Crypto,37.90421256563886,1
Lori Keller,boyer290@fraudmail.com,"97975 Jeffrey Ports
Beckland, LA 83554",Saint Kitts and Nevis,2716927362493632,True,5,1,4586.32,0,Crypto,56.130680574914834,1
Brian Blankenship,compton388@fraudmail.com,"7504 Justin Ferry
North Susan, MP 89597",Congo,4133769761947906932,True,2,1,4449.73,0,Crypto,33.31380732918562,1
Michael Smith,jordan224@fraudmail.com,"0649 Reid Groves
Jennaton, AR 16874",Mayotte,3540673792638038,True,3,3,3394.0,1,Card,36.18243033729641,1
Kenneth Manning,wheeler307@fraudmail.com,"90253 Diaz Cliffs Apt. 085
Lake Jared, PA 22036",Chad,213134215539537,True,8,3,4560.12,0,Crypto,59.252970057198574,1
Elizabeth Murphy,walton392@fraudmail.com,"34937 Rios Grove Apt. 163
Waltermouth, NH 27577",Brazil,4581768329021167465,True,7,1,751.13,1,Card,54.80842340278612,1
Katherine Martinez,phillips779@fraudmail.com,"17058 Ashley Streets Suite 142
South Todd, AR 06276",New Caledonia,4491073133887708,True,18,1,441.89,0,Card,50.41411014711961,1
Annette Swanson,king801@fraudmail.com,"2943 Timothy Manors Apt. 478
West Jacobtown, AS 38478",New Caledonia,180039985409317,True,19,5,1713.66,1,Paypal,15.79944267955619,1
Christopher Cohen,weaver429@fraudmail.com,"9514 Warner Springs
West Brian, LA 98853",Brazil,375943245952401,True,13,0,1569.83,0,Card,23.13383179723878,1
Zachary Lee,johnson794@fraudmail.com,"270 Debra Walk
North Lorimouth, MH 27551",Canada,30457902318555,True,14,4,4067.94,1,Paypal,17.909337540186154,1
Mr. Cory Preston,hill629@fraudmail.com,"164 Walker Pass Apt. 981
Cookton, AS 96998",Paraguay,4042238921520720391,True,10,5,4895.22,0,Paypal,52.401823355449906,1
Justin Ruiz,cantu506@fraudmail.com,"204 Ricardo Mountain Suite 109
New Heather, AZ 96453",Morocco,6011768541762288,True,11,3,4648.76,0,Crypto,48.04368383918889,1
Ashley Ramsey,martinez220@fraudmail.com,"9019 Lee Mill Apt. 331
Dunnbury, IN 76199",Liechtenstein,3502939149502706,True,13,5,3576.54,0,Paypal,39.13474351513355,1
Michael Jones,brooks637@fraudmail.com,"97975 Jeffrey Ports
Beckland, LA 83554",Cyprus,3501801133719921,True,15,1,2761.99,0,Paypal,41.315239729117295,1
Theodore May,robinson182@fraudmail.com,"8396 William Square Apt. 283
Johnsonshire, ME 27538",Fiji,4590193270298266828,True,14,2,3658.39,1,Paypal,26.11484158882656,1
Justin Jones,garcia661@fraudmail.com,"49203 Carter Circle Apt. 403
West Hannahfort, ID 40632",Reunion,4979640535044,True,6,5,4591.07,1,Card,28.855564716525663,1
Amy Nguyen,floyd309@fraudmail.com,"USNS Hall
FPO AE 93181",Burkina Faso,4301436754673260927,True,14,2,1645.77,1,Paypal,53.880856792877296,1
Meredith Nguyen,adams644@fraudmail.com,"7736 Jason Circle
Christineberg, MN 39305",France,4722515004386799,True,16,0,4899.13,0,Paypal,31.155283899953506,1
Barbara Tucker,sims179@fraudmail.com,"PSC 4063, Box 3516
APO AE 87332",Tuvalu,4581768329021167465,True,9,2,1008.1,1,Paypal,45.938491638634474,1
Brandon Miller,harris368@fraudmail.com,"PSC 6696, Box 7556
APO AE 93253",Vanuatu,4968074956445316019,True,12,0,469.48,0,Paypal,43.94084412617087,1
John Wilson,pope759@fraudmail.com,"74265 Parrish Avenue Suite 417
North Mary, IA 16041",France,4039421319967,True,8,2,2153.91,1,Card,49.284725865056004,1
Michelle Weber,rivera182@fraudmail.com,"7678 Robinson Junction
Shawnview, MI 66948",Senegal,213144607253464,True,14,4,2137.23,0,Card,25.9396942289015,1
Allen Ramirez,crawford154@fraudmail.com,"270 Debra Walk
North Lorimouth, MH 27551",Jordan,6011768541762288,True,3,5,2549.7,0,Crypto,56.66103557300214,1
Heather Campbell,meyers116@fraudmail.com,"49203 Carter Circle Apt. 403
West Hannahfort, ID 40632",Grenada,4013333187848652,True,13,4,3365.95,0,Card,47.16082618760633,1
Mrs. Denise Jones MD,fuller245@fraudmail.com,"708 Christian Lake
New Ianport, CO 52220",Dominica,6011935425550788,True,4,2,4963.26,0,Crypto,57.24908367720238,1
John Ruiz,hill560@fraudmail.com,"USNS Hall
FPO AE 93181",Western Sahara,4586769590175691513,True,8,3,2048.63,1,Card,25.220250752190573,1
Tasha Horn,brown354@fraudmail.com,"7397 Young Plaza Suite 431
Lake Sarahfurt, MN 82365",Poland,4586769590175691513,True,5,3,4856.13,0,Paypal,45.51637292695268,1
Toni Benjamin,kelly768@fraudmail.com,"822 Hernandez Ford Apt. 247
Lake Gregory, WV 00630",Northern Mariana Islands,4013333187848652,True,19,0,3117.0,1,Card,20.97298561060582,1
Jonathan Phillips,kirk963@fraudmail.com,"93013 Alexander Camp Suite 556
Wileytown, OR 09708",Mali,4491073133887708,True,5,0,4202.4,1,Card,40.37445131434174,1
Tracie Keith,graham311@fraudmail.com,"708 Christian Lake
New Ianport, CO 52220",Ecuador,639067624648,True,3,1,4773.7,1,Crypto,47.215342192761554,1
Jennifer Bradford,berry851@fraudmail.com,"90253 Diaz Cliffs Apt. 085
Lake Jared, PA 22036",Saint Helena,6011701030663899,True,15,4,4037.43,0,Card,48.77444769390068,1
Michelle Rodriguez,mccarthy798@fraudmail.com,"USNS Hall
FPO AE 93181",Fiji,30526310170491,True,13,4,4972.29,1,Crypto,16.321598346416,1
