full_name,email_address,address,country,credit_card_number,is_chargemap_pro_user,invoices_count,paid_invoices_count,current_debt_amount,feedback_count,payment_mean,payment_time_avg,is_fraud
Carolyn Jones,cox438@fraudmail.com,"0002 Debra Drive
Butlerview, PW 21953",Qatar,3576715094027456,True,1,1,720.2,0,Paypal,32.22858876967151,1
Christopher Simpson,matthews810@fraudmail.com,"748 Jessica Roads
Martinezfurt, VA 19625",Vanuatu,343797412541820,True,1,4,2112.06,1,Paypal,43.590982352044044,1
Keith Smith,walker936@fraudmail.com,"57346 Shelton Forks
Robertsonside, WI 40103",Tanzania,30446053569348,True,9,0,2573.5,0,Card,42.502033023740196,1
Karen Hickman,powell706@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Vietnam,3576715094027456,True,8,0,3772.35,0,Card,59.32210714735281,1
Desiree Thomas,walton484@fraudmail.com,"USNS Jones
FPO AP 53103",Puerto Rico,4951116809009777,True,8,4,3217.47,1,Crypto,17.85883188969144,1
Derrick Kelley,harris163@fraudmail.com,"06070 Kaitlin Tunnel Suite 016
Carpenterberg, SC 55411",Guyana,30113007561082,True,5,4,3570.13,0,Crypto,44.64136781338212,1
Daniel Jordan,anderson865@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Vietnam,3576715094027456,True,14,0,3785.01,1,Paypal,59.74075875293991,1
Ashley Buck,sullivan594@fraudmail.com,"76335 Megan Cape
Davisbury, MS 92997",South Africa,4435877470082,True,1,4,3176.0,1,Paypal,33.05568305922344,1
Jamie Joseph,chase364@fraudmail.com,"0002 Debra Drive
Butlerview, PW 21953",Tanzania,30113007561082,True,12,4,3356.87,0,Paypal,22.312374860101855,1
Benjamin Barnes,mitchell598@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",Korea,4607656172891077,True,10,1,4122.47,0,Crypto,36.68997688702634,1
Christopher Sherman,haley543@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Cameroon,676155111104,True,3,4,4229.14,0,Card,20.025741112763683,1
Jennifer Moore,franco866@fraudmail.com,"75829 Foster Inlet Apt. 809
Huntfort, NJ 70653",Saint Martin,4951116809009777,True,20,5,3509.59,0,Crypto,49.86069728336235,1
Christy West,calhoun860@fraudmail.com,"1538 John Freeway Suite 895
Steveton, PR 11006",Kenya,4145490955594941,True,5,2,3884.08,1,Crypto,48.38453528020373,1
Christina Wallace,torres204@fraudmail.com,"USNS Jones
FPO AP 53103",Grenada,676128286512,True,18,3,777.64,1,Paypal,43.383847443456375,1
Mike Bates,norris607@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Finland,676155111104,True,20,4,4744.59,0,Crypto,16.62727018698993,1
Tanya Rivera,green805@fraudmail.com,"8745 Durham Glens Apt. 303
Pughport, MI 38144",Serbia,676128286512,True,17,5,3127.45,1,Card,23.316130015667113,1
Tracy Smith,jones131@fraudmail.com,"5064 Baker Unions
Lake Amanda, MI 76865",American Samoa,343797412541820,True,12,3,3850.45,1,Paypal,31.937939524741807,1
Michael Skinner,hansen436@fraudmail.com,"034 Ortiz Stream Apt. 557
Jasonchester, WV 03972",French Southern Territories,2231571605045852,True,20,5,2844.53,0,Card,51.66677155901797,1
Austin Smith,riley506@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",Venezuela,30023938156904,True,9,0,146.34,1,Crypto,47.488603577672,1
Kristen Jenkins,hahn532@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Lesotho,676155111104,True,8,3,787.47,0,Crypto,52.907074941530205,1
Lisa Graham,taylor184@fraudmail.com,"748 Jessica Roads
Martinezfurt, VA 19625",British Indian Ocean Territory (Chagos Archipelago),4902167753255031,True,5,3,1215.86,1,Card,50.97910582592599,1
Thomas Bartlett,miller401@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Faroe Islands,30113007561082,True,19,1,2643.75,0,Crypto,36.805517586553215,1
Carlos Goodwin,hanson975@fraudmail.com,"42059 Garcia Flat
West Michael, CA 30434",Montenegro,30023938156904,True,5,3,1266.92,0,Paypal,20.699243478432635,1
Tracy Schroeder,becker978@fraudmail.com,"75829 Foster Inlet Apt. 809
Huntfort, NJ 70653",Oman,30446053569348,True,12,0,1875.3,1,Card,31.388613964172958,1
Melissa Guzman,doyle436@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",Madagascar,676155111104,True,8,0,734.48,1,Crypto,59.896732460654114,1
Matthew Patterson,kirby735@fraudmail.com,"76335 Megan Cape
Davisbury, MS 92997",Mali,6594982778406114,True,19,3,1305.67,0,Card,54.87418133153458,1
Jacqueline Tran,carter420@fraudmail.com,"034 Ortiz Stream Apt. 557
Jasonchester, WV 03972",Poland,38390962842705,True,20,5,2162.86,0,Paypal,18.36115461259157,1
Patty King,reynolds516@fraudmail.com,"57346 Shelton Forks
Robertsonside, WI 40103",Saint Kitts and Nevis,4145490955594941,True,19,5,1812.64,1,Crypto,42.88772868143532,1
Alexander Thompson,lopez445@fraudmail.com,"034 Ortiz Stream Apt. 557
Jasonchester, WV 03972",Honduras,30446053569348,True,9,2,2122.65,0,Crypto,57.19649531435719,1
Tiffany Perez,dominguez260@fraudmail.com,"034 Ortiz Stream Apt. 557
Jasonchester, WV 03972",Czech Republic,586912191606,True,1,3,1326.73,1,Paypal,27.92236365578929,1
Tamara Ferguson,lopez843@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",Congo,3576715094027456,True,2,0,1318.83,0,Crypto,37.09376250556181,1
James Wagner,robles672@fraudmail.com,"748 Jessica Roads
Martinezfurt, VA 19625",Finland,30446053569348,True,18,1,2749.73,1,Card,46.63595482853927,1
Timothy Everett,frazier266@fraudmail.com,"233 Watts Branch Suite 150
East Jamesfurt, SD 20595",Cook Islands,586912191606,True,3,0,1513.08,1,Crypto,16.30723609973041,1
Daniel Taylor,johnson641@fraudmail.com,"95141 Craig Summit Suite 852
South Keithfurt, NJ 00776",Belize,676155111104,True,5,2,1714.77,0,Crypto,50.722739086717205,1
Amy Hall,ashley895@fraudmail.com,"5064 Baker Unions
Lake Amanda, MI 76865",Marshall Islands,2231571605045852,True,8,4,851.18,0,Card,20.601473460963163,1
Kristin Martinez,powers491@fraudmail.com,"06070 Kaitlin Tunnel Suite 016
Carpenterberg, SC 55411",Luxembourg,2231571605045852,True,9,0,2495.79,0,Card,25.267516784585972,1
Sandra Johnson,garza239@fraudmail.com,"06070 Kaitlin Tunnel Suite 016
Carpenterberg, SC 55411",Georgia,30113007561082,True,9,0,1817.84,1,Paypal,40.643833918655446,1
Tanya Delgado,griffin366@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Malaysia,676128286512,True,20,1,221.04,0,Crypto,30.060998763321464,1
Anthony Moran,kirby211@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",Switzerland,3576715094027456,True,7,0,3083.49,1,Card,49.01823667132408,1
Michael Rodriguez,thompson920@fraudmail.com,"42059 Garcia Flat
West Michael, CA 30434",Jordan,30446053569348,True,12,3,4086.74,1,Crypto,57.22707421769595,1
Kyle Pham,mcneil874@fraudmail.com,"USNS Jones
FPO AP 53103",Mali,6594982778406114,True,20,1,552.37,0,Crypto,27.955074942233562,1
Dale Hickman,williams169@fraudmail.com,"76335 Megan Cape
Davisbury, MS 92997",New Zealand,4435877470082,True,1,3,4652.81,1,Paypal,31.592854792632476,1
Kenneth Lambert,edwards200@fraudmail.com,"57346 Shelton Forks
Robertsonside, WI 40103",Brunei Darussalam,30113007561082,True,8,5,2060.0,0,Crypto,19.06218476485198,1
Christina Ray DDS,gonzales921@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",United States Virgin Islands,676128286512,True,1,0,372.61,1,Paypal,47.51179838403227,1
Jose Fuentes,foster463@fraudmail.com,"1538 John Freeway Suite 895
Steveton, PR 11006",Cook Islands,4724842911516061760,True,19,1,4486.19,1,Card,34.35981027488475,1
Edwin Fernandez,williams836@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Dominica,676155111104,True,15,0,229.87,0,Paypal,41.48545026602507,1
Candice Gray,parsons846@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Seychelles,3576715094027456,True,18,1,2746.83,0,Paypal,47.445422978169425,1
Daniel Bradley,douglas640@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",United Kingdom,30113007561082,True,3,0,1148.35,0,Paypal,33.34220781585806,1
Michael Peterson,powell283@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Afghanistan,30113007561082,True,14,0,4335.29,1,Paypal,23.114346239177753,1
Michele Baker,larson521@fraudmail.com,"8745 Durham Glens Apt. 303
Pughport, MI 38144",Guam,676155111104,True,17,5,1519.06,1,Paypal,42.80220940726361,1
Elizabeth Ortiz MD,branch839@fraudmail.com,"0002 Debra Drive
Butlerview, PW 21953",Belgium,3576715094027456,True,16,4,3996.3,1,Paypal,31.838435415201097,1
Shane Russell,carpenter128@fraudmail.com,"93928 Linda Field Suite 640
Mendezfurt, KS 61155",Malaysia,2231571605045852,True,4,4,4983.7,0,Paypal,26.121135380801633,1
Dr. Jonathan Davis,olsen193@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Zimbabwe,343797412541820,True,18,2,1501.48,0,Paypal,35.65718090110245,1
Mark Stout,white219@fraudmail.com,"95141 Craig Summit Suite 852
South Keithfurt, NJ 00776",Ecuador,676128286512,True,7,5,4088.62,0,Card,38.61483723721763,1
James Mendez,mahoney403@fraudmail.com,"0002 Debra Drive
Butlerview, PW 21953",Nauru,4145490955594941,True,17,0,4661.47,0,Crypto,59.17368957765345,1
Anthony Taylor,pearson973@fraudmail.com,"034 Ortiz Stream Apt. 557
Jasonchester, WV 03972",New Zealand,3567214975293339,True,3,4,1343.0,1,Paypal,53.726904873053854,1
Peter Nunez,robinson112@fraudmail.com,"95141 Craig Summit Suite 852
South Keithfurt, NJ 00776",Bermuda,676155111104,True,17,1,2337.86,1,Card,31.345432363492797,1
Cynthia Vaughn,morrison664@fraudmail.com,"93928 Linda Field Suite 640
Mendezfurt, KS 61155",Czech Republic,30023938156904,True,18,1,4429.43,0,Paypal,34.60307931551611,1
Kenneth Herman,winters591@fraudmail.com,"06070 Kaitlin Tunnel Suite 016
Carpenterberg, SC 55411",Djibouti,30446053569348,True,5,0,1785.75,0,Crypto,31.779086991806757,1
Cathy Brown,marshall786@fraudmail.com,"233 Watts Branch Suite 150
East Jamesfurt, SD 20595",Ireland,586912191606,True,16,4,2840.78,0,Paypal,48.73056958334406,1
Jason Edwards,kelly112@fraudmail.com,"76335 Megan Cape
Davisbury, MS 92997",Senegal,4724842911516061760,True,20,1,1069.62,1,Paypal,58.06919528635851,1
Jeremy Mitchell,cohen772@fraudmail.com,"75829 Foster Inlet Apt. 809
Huntfort, NJ 70653",Brazil,3590522566591650,True,16,0,4165.64,1,Card,58.64046537588595,1
Connor Dennis,espinoza370@fraudmail.com,"1538 John Freeway Suite 895
Steveton, PR 11006",Honduras,3590522566591650,True,7,1,4863.45,0,Paypal,51.92790553025515,1
Casey Meyer,mullen870@fraudmail.com,"8745 Durham Glens Apt. 303
Pughport, MI 38144",Honduras,38390962842705,True,19,4,1425.05,0,Paypal,35.21753396064695,1
Joseph Robertson,herrera747@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",Belgium,4435877470082,True,9,5,3318.16,1,Paypal,59.46547548928916,1
John Wilson,kirk238@fraudmail.com,"90732 Webb Fort
Debrastad, ME 89629",Ireland,4145490955594941,True,12,3,1280.29,1,Card,43.42292078935104,1
Brian Murphy,trevino676@fraudmail.com,"42059 Garcia Flat
West Michael, CA 30434",American Samoa,30023938156904,True,13,0,1840.31,1,Crypto,50.11746633975928,1
Nathan Wood,taylor935@fraudmail.com,"90732 Webb Fort
Debrastad, ME 89629",Saint Lucia,4951116809009777,True,1,4,1965.23,1,Card,17.441267329393806,1
James Atkins,beck551@fraudmail.com,"76335 Megan Cape
Davisbury, MS 92997",Uganda,676128286512,True,15,2,1481.68,0,Crypto,44.56335707022046,1
Sarah Hayes DVM,allen417@fraudmail.com,"93928 Linda Field Suite 640
Mendezfurt, KS 61155",Micronesia,6594982778406114,True,17,4,1995.01,1,Crypto,33.276789376902826,1
Yolanda White,coleman852@fraudmail.com,"57346 Shelton Forks
Robertsonside, WI 40103",Timor-Leste,4951116809009777,True,14,2,403.6,0,Card,44.662659597296496,1
Bryan Rodgers,sandoval629@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",Montenegro,343797412541820,True,2,4,1770.79,0,Paypal,37.713163699077924,1
Donald Wright,robinson297@fraudmail.com,"42059 Garcia Flat
West Michael, CA 30434",Guadeloupe,30113007561082,True,16,2,4248.09,0,Card,19.556835862612676,1
James Leonard,lamb610@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",Greece,30113007561082,True,3,4,4822.39,0,Paypal,59.46370194092796,1
Monique Davidson,meyer643@fraudmail.com,"233 Watts Branch Suite 150
East Jamesfurt, SD 20595",Cameroon,676155111104,True,10,5,574.4,1,Paypal,39.85573217039595,1
Sonya Conner,gaines684@fraudmail.com,"5818 Garcia Stream
Codybury, FM 52949",Azerbaijan,30023938156904,True,15,1,1530.5,1,Crypto,27.974457047154637,1
Allen Gordon,phillips643@fraudmail.com,"5064 Baker Unions
Lake Amanda, MI 76865",Guadeloupe,3590522566591650,True,17,5,2975.86,1,Crypto,41.32087532529148,1
Katherine Lopez,newman278@fraudmail.com,"8745 Durham Glens Apt. 303
Pughport, MI 38144",Turkey,4951116809009777,True,8,4,456.07,0,Crypto,27.181726968178314,1
Rachel Garrison,rios272@fraudmail.com,"034 Ortiz Stream Apt. 557
Jasonchester, WV 03972",Svalbard & Jan Mayen Islands,676155111104,True,7,1,3142.99,0,Crypto,51.84171949429182,1
Sherry Stokes,cross321@fraudmail.com,"0002 Debra Drive
Butlerview, PW 21953",Trinidad and Tobago,4435877470082,True,11,4,511.48,0,Crypto,46.88910902212187,1
Leonard Conley,rice342@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Panama,676128286512,True,6,1,3344.66,0,Paypal,18.384781882364216,1
Tamara Patel,mckee284@fraudmail.com,"95141 Craig Summit Suite 852
South Keithfurt, NJ 00776",Brazil,4607656172891077,True,11,3,3000.78,0,Crypto,53.513954923270674,1
Caleb Smith,cooper352@fraudmail.com,"42059 Garcia Flat
West Michael, CA 30434",Guinea,343797412541820,True,8,5,4391.28,1,Crypto,22.61047580638527,1
Melissa Flores MD,jackson850@fraudmail.com,"1538 John Freeway Suite 895
Steveton, PR 11006",Tunisia,30023938156904,True,20,5,2971.32,1,Crypto,26.61568950080312,1
Alexis Russell,bush319@fraudmail.com,"0002 Debra Drive
Butlerview, PW 21953",Brazil,30023938156904,True,15,2,3556.62,0,Card,55.72374991634283,1
Jackie Clements,white317@fraudmail.com,"8674 Briggs Views
Charleschester, DE 07352",Jordan,676128286512,True,3,1,2376.34,0,Paypal,28.98552660576936,1
Teresa Burke,bowman375@fraudmail.com,"06070 Kaitlin Tunnel Suite 016
Carpenterberg, SC 55411",Greenland,2231571605045852,True,8,2,3187.3,0,Paypal,15.85871735874682,1
Kara Mason,long605@fraudmail.com,"78482 Clark Parkways Suite 187
West Whitney, MD 68064",Bangladesh,38390962842705,True,14,0,2016.5,0,Card,48.138497332586454,1
Roger Hughes,ware155@fraudmail.com,"PSC 7595, Box 6795
APO AP 57814",Slovenia,30113007561082,True,18,2,4055.52,0,Card,43.04244685494239,1
Jennifer Olson,clarkejoseph@example.net,"7105 Lisa Mills
East Emily, IN 12326",Tunisia,4566118362025,False,41,18,0.0,8,Card,11.668222931551036,0
Sarah Moody MD,josephnorris@example.org,"20274 Michael Tunnel
South Melissa, TX 92579",Romania,060480452782,False,11,42,0.0,6,Card,8.935843427127192,0
Walter Cook,murphyrebecca@example.org,"618 Smith Port
East Paula, PW 66864",North Macedonia,30567848678068,False,20,35,0.0,8,Paypal,14.993519860587211,0
Charles Skinner,dorothyvaldez@example.com,"9395 Jackson Glens
East Carolton, MD 92590",Australia,5298771416148258,False,10,5,0.0,10,Paypal,2.645920731095128,0
Andrew Barrett,walshstephanie@example.net,"Unit 6731 Box 5118
DPO AA 24983",Nigeria,4316700870841819720,False,38,25,0.0,3,Card,4.95684071767334,0
David Day,jeffrey03@example.net,"8196 Jensen Terrace Apt. 563
Johnsonfurt, FM 67711",Kiribati,379394089440028,False,22,29,0.0,6,Paypal,6.585572435736082,0
Robert Collins,katelyn93@example.com,"Unit 6059 Box 3871
DPO AP 01293",Mexico,2278527694597108,False,36,23,0.0,4,Card,13.390577509757115,0
Abigail Monroe,jfitzgerald@example.org,"9839 Sharon Street
South Alan, NC 25909",Guadeloupe,4476881344211164,False,25,12,0.0,5,Paypal,9.807557176298324,0
Logan Cunningham,margaret67@example.net,"1773 Pace Wall Suite 206
Lewiston, NJ 34936",Bosnia and Herzegovina,4640042238918230884,False,28,40,0.0,3,Card,5.160246612579428,0
Susan Torres,gbishop@example.net,"3666 Cooke Squares Apt. 788
South Keith, NY 26045",Croatia,340951898782605,False,50,27,0.0,3,Paypal,5.600567930482805,0
Shelby Ford,cunninghamnathan@example.com,"76405 Steven Points
West Christopher, CA 60600",Madagascar,213164071529132,False,37,10,0.0,8,Paypal,4.205264148461857,0
Cynthia Key,jack97@example.org,"189 Taylor Ranch
Janetborough, OK 90395",New Caledonia,6566074385481872,False,45,5,0.0,5,Card,14.298779633897162,0
Alice Davis,kristine59@example.com,"865 Gonzalez Circles
North Oliviafurt, WA 19766",Kyrgyz Republic,4306293909111971128,False,8,19,0.0,3,Paypal,1.8962200809821947,0
Robert Rasmussen,stephensshawna@example.net,"2991 Parker Common
Nguyentown, OH 01532",Burkina Faso,3564160857434900,False,28,6,0.0,4,Card,8.089300784574633,0
Jose Barrett,gonzalesadam@example.com,"56264 Wise Path
South Connietown, AS 90981",Kazakhstan,3501809837753567,False,7,48,0.0,6,Paypal,12.963284159602061,0
Nancy Nichols,ysnyder@example.com,"5564 James Plain
Silvamouth, ND 55744",Iceland,30162933407308,False,29,47,0.0,8,Paypal,11.055645179070893,0
John Sharp,brownsarah@example.org,"57032 Benjamin Rapids
North Aaron, SD 92880",Pakistan,30506920180114,False,39,43,0.0,2,Paypal,9.066675907081587,0
James Nunez,martinyvonne@example.org,"22104 Jason Lodge Apt. 356
North John, AL 40108",United States of America,4639815721440768,False,18,5,0.0,4,Paypal,12.548255155296662,0
Jeremy Duran,floresdaniel@example.net,"930 Johnson Park Apt. 278
Port Gregory, FM 85330",Georgia,345518045031825,False,14,15,0.0,6,Card,12.445294918842174,0
Jessica Cruz,ericahanson@example.org,"1472 Luna Forest Suite 126
Alyssaton, NM 56217",Bangladesh,346077017667909,False,22,34,0.0,6,Card,2.3713199287758773,0
Tony Moore,mcdanielmichael@example.org,"Unit 3776 Box 8056
DPO AE 44549",Russian Federation,3513652533287449,False,28,15,0.0,7,Card,1.7297273464752865,0
Charles Vasquez,acostajoseph@example.com,"Unit 8385 Box 3057
DPO AP 11441",Eritrea,6530704564366444,False,30,34,0.0,8,Paypal,14.186657886933443,0
Gina Morgan,hgarcia@example.net,"96174 Christopher Summit Apt. 134
Murphyshire, VI 29112",Fiji,6518380743767392,False,33,19,0.0,4,Card,13.12574616650309,0
Russell Williams,gina33@example.org,"Unit 0752 Box 2709
DPO AA 19121",Malta,6011128308085300,False,19,18,0.0,7,Paypal,3.8512960982389752,0
Robert Clark,cwilliams@example.org,"Unit 1716 Box 5039
DPO AA 37204",Bulgaria,4330274275620205,False,35,9,0.0,4,Paypal,10.02882752162723,0
Alexis Skinner,jonathan39@example.com,"58984 Heather Ways Apt. 754
West Madisonshire, SD 31842",Luxembourg,6011488583404091,False,35,49,0.0,1,Card,13.574689867143103,0
Chelsea Shields PhD,robinsonandrew@example.org,"064 Mejia Isle
Joanneport, FL 90357",Saint Pierre and Miquelon,4973662744189384,False,30,5,0.0,2,Paypal,8.881421751214255,0
Kimberly Casey,madelinesmith@example.net,"PSC 3832, Box 0678
APO AA 14494",Mexico,4668268730083043,False,9,35,0.0,4,Paypal,7.294586072101052,0
Dakota Mcdonald,seangonzalez@example.org,"413 Edward Green
North Christina, DE 77942",Cape Verde,3568545162391975,False,30,50,0.0,7,Card,7.025220690866535,0
Sara Copeland,theresareilly@example.org,"032 Shah Springs
Richardstad, OR 79890",Nigeria,676348545606,False,5,47,0.0,5,Card,7.401387772108757,0
Alexandra Williams,youngkim@example.org,"7245 Wendy Wells Apt. 573
Port Richard, NJ 08351",Argentina,4308738092322,False,27,47,0.0,8,Card,10.519050026722404,0
Tamara Castillo,hbennett@example.org,"96646 Chang Causeway Apt. 239
New Mary, MT 59094",Gambia,5350075681715592,False,40,31,0.0,5,Card,2.3798944639064095,0
Michael Nguyen,bestdwayne@example.net,"1223 Moss Street Apt. 793
Spencerland, PR 28979",Ukraine,30445940445845,False,38,29,0.0,10,Paypal,10.273962838498221,0
Connor Evans,qcantu@example.com,"857 Jamie Loop Suite 598
Lake Jodiville, NJ 59998",Marshall Islands,4604436086522842,False,20,50,0.0,5,Card,9.16407778566334,0
Jessica Maddox,paulamiller@example.net,"59111 Smith Parkways
Lake Chadshire, NH 45300",United States Minor Outlying Islands,374629326401977,False,33,23,0.0,8,Card,9.007973705525629,0
Kelli Boyle,carsoncrystal@example.com,"972 Marks Skyway
West Kelly, KS 96946",Svalbard & Jan Mayen Islands,4208033894119,False,23,24,0.0,2,Paypal,8.659311726414543,0
Jackson Sims,ylarsen@example.net,"9524 Johnson Village
East Tiffany, NV 03789",Haiti,4395896850351,False,15,11,0.0,1,Card,3.7739039742513443,0
Sarah Velez,dpitts@example.com,"0705 William View Apt. 617
North Barbara, OK 36675",Denmark,375918264385857,False,46,30,0.0,4,Card,9.403079146735479,0
Ryan Morris,browncourtney@example.com,"89209 James Ferry Suite 123
Martinezburgh, WA 40278",Saint Martin,2720312180508024,False,30,14,0.0,1,Card,2.7389915194136307,0
Anthony Livingston,emily43@example.org,"38350 Martin Oval Apt. 124
Port Richardborough, ID 03525",Northern Mariana Islands,503823928059,False,37,48,0.0,5,Card,13.738290185769486,0
Jacob Lopez,vcarter@example.net,"2637 Hector Common
Alexanderton, AK 45329",Fiji,582176174792,False,7,16,0.0,3,Paypal,13.430087005723639,0
Deborah Martinez,danderson@example.org,"16406 Zachary Pike Apt. 076
New Thomasland, HI 91653",Congo,4368122458186632,False,29,14,0.0,8,Paypal,9.004325186141854,0
Melissa Green,aaronperry@example.com,"7735 Fernando Fork
Chasebury, ME 18872",Myanmar,3517217113238901,False,49,23,0.0,6,Paypal,9.600353903776877,0
Jessica Murray,liamanda@example.com,"4094 Bailey Pass
West Kathryntown, WA 60392",Latvia,3512490257943041,False,20,30,0.0,7,Card,5.102056700806399,0
Terry Anderson,tarahunt@example.net,"129 Sherri Manors
Tiffanyton, LA 23131",Armenia,4958209186176198019,False,11,31,0.0,10,Paypal,3.159717844238207,0
David Flores,mckeegabriel@example.org,"153 Melissa Turnpike
Port Zacharymouth, WY 30303",Antarctica (the territory South of 60 deg S),4032737042962044,False,28,48,0.0,10,Card,7.562124982266196,0
Marissa Williamson,derrickjacobs@example.org,"Unit 3385 Box 3513
DPO AE 13547",Lithuania,378554684944457,False,38,50,0.0,3,Card,12.758817960759941,0
Christine Garrison MD,wesley10@example.com,"1020 Oliver Ferry
Port Amymouth, FL 94586",Swaziland,630492165992,False,16,41,0.0,3,Paypal,7.3256018427980365,0
Jason Wise,christina74@example.org,"9039 Craig Route Suite 874
New Joanmouth, PR 89602",Thailand,675912542130,False,33,48,0.0,8,Paypal,3.7262752918360595,0
Thomas Peters,khernandez@example.net,"4301 Blankenship Drive Apt. 146
East Larry, UT 80020",Saint Pierre and Miquelon,213179446543774,False,12,28,0.0,7,Paypal,8.520167335778472,0
Lisa Keith,jacquelinechambers@example.com,"724 Alisha Prairie Apt. 629
Lake Virginiabury, WV 79278",French Polynesia,4806359130542754,False,22,28,0.0,9,Paypal,14.34806600942045,0
Kelsey Hall,jefferyrussell@example.com,"2553 Brown Avenue
Charlesstad, MO 88971",Korea,30445969447169,False,21,10,0.0,1,Card,11.195528738092348,0
Sean Norris,lopezrichard@example.org,"USCGC Hicks
FPO AA 16644",Kyrgyz Republic,180099515190357,False,50,26,0.0,2,Paypal,10.59333717173742,0
Anthony Sparks,reneemartinez@example.net,"1054 Tiffany Forks Suite 413
New Karen, IA 42011",Trinidad and Tobago,5201058024711222,False,45,49,0.0,8,Card,7.118126315576459,0
Angela Boyer,bushrichard@example.com,"575 Ryan Loop
Chaseville, WI 59705",Gambia,6582053993104878,False,34,8,0.0,8,Paypal,14.816706145805497,0
Jason Woods,imendoza@example.org,"Unit 7636 Box 4380
DPO AP 29715",Kiribati,6528077959093210,False,48,9,0.0,2,Card,13.442272272911621,0
Matthew Mcbride,johnnywilliams@example.org,"003 Thomas Lane
New David, MA 84277",Uganda,4709351689458845,False,14,48,0.0,3,Paypal,8.21378769140098,0
Anthony Juarez,sarahrodriguez@example.com,"9005 Christopher Circle Apt. 044
Jeffreyland, GA 72751",Rwanda,213125728176759,False,13,10,0.0,7,Card,14.85370459365448,0
Jason Duke,kneal@example.com,"6532 Kyle Hollow Suite 983
Elizabethbury, MN 23458",Ireland,6598474418074870,False,45,14,0.0,10,Card,11.275508056098921,0
Tamara Brennan,jharris@example.org,"04443 Flores Cliffs
Lake Jacob, WI 26487",Algeria,3566398733238065,False,45,43,0.0,9,Paypal,11.191630814700709,0
Michael Carter,randall83@example.net,"67701 Miller Lakes Apt. 021
East Todd, CA 36665",Taiwan,6011288146890061,False,21,49,0.0,10,Card,9.612799406822731,0
